Time,Voltage,VoltageExact,VoltageError
0.650000,2.610229,2.610229,0.000000
0.660000,2.584257,2.584257,0.000000
0.670000,2.558543,2.558543,0.000000
0.680000,2.533085,2.533085,0.000000
0.690000,2.507880,2.507880,0.000000
0.700000,2.482927,2.482927,0.000000
0.710000,2.458221,2.458221,0.000000
0.720000,2.433761,2.433761,0.000000
0.730000,2.409545,2.409545,0.000000
0.740000,2.385570,2.385570,0.000000
0.750000,2.361833,2.361833,0.000000
0.760000,2.338332,2.338332,0.000000
0.770000,2.315065,2.315065,0.000000
0.780000,2.292030,2.292030,0.000000
0.790000,2.269224,2.269224,0.000000
0.800000,2.246645,2.246645,0.000000
0.810000,2.224290,2.224290,0.000000
0.820000,2.202158,2.202158,0.000000
0.830000,2.180246,2.180246,0.000000
0.840000,2.158553,2.158553,0.000000
0.850000,2.137075,2.137075,0.000000
0.860000,2.115810,2.115810,0.000000
0.870000,2.094758,2.094758,0.000000
0.880000,2.073915,2.073915,0.000000
0.890000,2.053279,2.053279,0.000000
0.900000,2.032848,2.032848,0.000000
0.910000,2.012621,2.012621,0.000000
0.920000,1.992595,1.992595,0.000000
0.930000,1.972769,1.972769,0.000000
0.940000,1.953139,1.953139,0.000000
0.950000,1.933705,1.933705,0.000000
0.960000,1.914464,1.914464,0.000000
0.970000,1.895415,1.895415,0.000000
0.980000,1.876555,1.876555,0.000000
0.990000,1.857883,1.857883,0.000000
1.000000,1.839397,1.839397,0.000000
1.010000,1.821095,1.821095,0.000000
1.020000,1.802975,1.802975,0.000000
1.030000,1.785035,1.785035,0.000000
1.040000,1.767273,1.767273,0.000000
1.050000,1.749689,1.749689,0.000000
1.060000,1.732279,1.732279,0.000000
1.070000,1.715043,1.715043,0.000000
1.080000,1.697978,1.697978,0.000000
1.090000,1.681082,1.681082,0.000000
1.100000,1.664355,1.664355,0.000000
1.110000,1.647795,1.647795,0.000000
1.120000,1.631399,1.631399,0.000000
1.130000,1.615166,1.615166,0.000000
1.140000,1.599095,1.599095,0.000000
1.150000,1.583184,1.583184,0.000000
1.160000,1.567431,1.567431,0.000000
1.170000,1.551835,1.551835,0.000000
1.180000,1.536394,1.536394,0.000000
1.190000,1.521106,1.521106,0.000000
1.200000,1.505971,1.505971,0.000000
1.210000,1.490986,1.490986,0.000000
1.220000,1.476151,1.476151,0.000000
1.230000,1.461463,1.461463,0.000000
1.240000,1.446921,1.446921,0.000000
1.250000,1.432524,1.432524,0.000000
1.260000,1.418270,1.418270,0.000000
1.270000,1.404158,1.404158,0.000000
1.280000,1.390187,1.390187,0.000000
1.290000,1.376354,1.376354,0.000000
1.300000,1.362659,1.362659,0.000000
1.310000,1.349100,1.349100,0.000000
1.320000,1.335677,1.335677,0.000000
1.330000,1.322386,1.322386,0.000000
1.340000,1.309228,1.309228,0.000000
1.350000,1.296201,1.296201,0.000000
1.360000,1.283304,1.283304,0.000000
1.370000,1.270535,1.270535,0.000000
1.380000,1.257893,1.257893,0.000000
1.390000,1.245377,1.245377,0.000000
1.400000,1.232985,1.232985,0.000000
1.410000,1.220716,1.220716,0.000000
1.420000,1.208570,1.208570,0.000000
1.430000,1.196545,1.196545,0.000000
1.440000,1.184639,1.184639,0.000000
1.450000,1.172851,1.172851,0.000000
1.460000,1.161181,1.161181,0.000000
1.470000,1.149627,1.149627,0.000000
1.480000,1.138188,1.138188,0.000000
1.490000,1.126863,1.126863,0.000000
1.500000,1.115651,1.115651,0.000000
1.510000,1.104550,1.104550,0.000000
1.520000,1.093559,1.093559,0.000000
1.530000,1.082678,1.082678,0.000000
1.540000,1.071906,1.071906,0.000000
1.550000,1.061240,1.061240,0.000000
1.560000,1.050680,1.050680,0.000000
1.570000,1.040226,1.040226,0.000000
1.580000,1.029875,1.029875,0.000000
1.590000,1.019628,1.019628,0.000000
1.600000,1.009483,1.009483,0.000000
1.610000,0.999438,0.999438,0.000000
1.620000,0.989493,0.989493,0.000000
1.630000,0.979648,0.979648,0.000000
1.640000,0.969900,0.969900,0.000000
1.650000,0.960250,0.960250,0.000000
1.660000,0.950695,0.950695,0.000000
1.670000,0.941235,0.941235,0.000000
1.680000,0.931870,0.931870,0.000000
1.690000,0.922598,0.922598,0.000000
1.700000,0.913418,0.913418,0.000000
1.710000,0.904329,0.904329,0.000000
1.720000,0.895331,0.895331,0.000000
1.730000,0.886422,0.886422,0.000000
1.740000,0.877602,0.877602,0.000000
1.750000,0.868870,0.868870,0.000000
1.760000,0.860224,0.860224,0.000000
1.770000,0.851665,0.851665,0.000000
1.780000,0.843191,0.843191,0.000000
1.790000,0.834801,0.834801,0.000000
1.800000,0.826494,0.826494,0.000000
1.810000,0.818271,0.818271,0.000000
1.820000,0.810129,0.810129,0.000000
1.830000,0.802068,0.802068,0.000000
1.840000,0.794087,0.794087,0.000000
1.850000,0.786186,0.786186,0.000000
1.860000,0.778363,0.778363,0.000000
1.870000,0.770618,0.770618,0.000000
1.880000,0.762951,0.762951,0.000000
1.890000,0.755359,0.755359,0.000000
1.900000,0.747843,0.747843,0.000000
1.910000,0.740402,0.740402,0.000000
1.920000,0.733035,0.733035,0.000000
1.930000,0.725741,0.725741,0.000000
1.940000,0.718520,0.718520,0.000000
1.950000,0.711370,0.711370,0.000000
1.960000,0.704292,0.704292,0.000000
1.970000,0.697284,0.697284,0.000000
1.980000,0.690346,0.690346,0.000000
1.990000,0.683477,0.683477,0.000000
2.000000,0.676676,0.676676,0.000000
2.010000,0.669943,0.669943,0.000000
2.020000,0.663277,0.663277,0.000000
2.030000,0.656678,0.656678,0.000000
2.040000,0.650144,0.650144,0.000000
2.050000,0.643675,0.643675,0.000000
2.060000,0.637270,0.637270,0.000000
2.070000,0.630929,0.630929,0.000000
2.080000,0.624651,0.624651,0.000000
2.090000,0.618436,0.618436,0.000000
2.100000,0.612282,0.612282,0.000000
2.110000,0.606190,0.606190,0.000000
2.120000,0.600158,0.600158,0.000000
2.130000,0.594186,0.594186,0.000000
2.140000,0.588274,0.588274,0.000000
2.150000,0.582421,0.582421,0.000000
2.160000,0.576626,0.576626,0.000000
2.170000,0.570888,0.570888,0.000000
2.180000,0.565208,0.565208,0.000000
2.190000,0.559584,0.559584,0.000000
2.200000,0.554016,0.554016,0.000000
2.210000,0.548503,0.548503,0.000000
2.220000,0.543046,0.543046,0.000000
2.230000,0.537642,0.537642,0.000000
2.240000,0.532293,0.532293,0.000000
2.250000,0.526996,0.526996,0.000000
2.260000,0.521752,0.521752,0.000000
2.270000,0.516561,0.516561,0.000000
2.280000,0.511421,0.511421,0.000000
2.290000,0.506332,0.506332,0.000000
2.300000,0.501294,0.501294,0.000000
2.310000,0.496306,0.496306,0.000000
2.320000,0.491368,0.491368,0.000000
2.330000,0.486479,0.486479,0.000000
2.340000,0.481638,0.481638,0.000000
2.350000,0.476846,0.476846,0.000000
2.360000,0.472101,0.472101,0.000000
2.370000,0.467404,0.467404,0.000000
2.380000,0.462753,0.462753,0.000000
2.390000,0.458148,0.458148,0.000000
2.400000,0.453590,0.453590,0.000000
2.410000,0.449076,0.449076,0.000000
2.420000,0.444608,0.444608,0.000000
2.430000,0.440184,0.440184,0.000000
2.440000,0.435804,0.435804,0.000000
2.450000,0.431468,0.431468,0.000000
2.460000,0.427175,0.427175,0.000000
2.470000,0.422924,0.422924,0.000000
2.480000,0.418716,0.418716,0.000000
2.490000,0.414550,0.414550,0.000000
2.500000,0.410425,0.410425,0.000000
2.510000,0.406341,0.406341,0.000000
2.520000,0.402298,0.402298,0.000000
2.530000,0.398295,0.398295,0.000000
2.540000,0.394332,0.394332,0.000000
2.550000,0.390408,0.390408,0.000000
2.560000,0.386524,0.386524,0.000000
2.570000,0.382678,0.382678,0.000000
2.580000,0.378870,0.378870,0.000000
2.590000,0.375100,0.375100,0.000000
2.600000,0.371368,0.371368,0.000000
2.610000,0.367673,0.367673,0.000000
2.620000,0.364014,0.364014,0.000000
2.630000,0.360392,0.360392,0.000000
2.640000,0.356806,0.356806,0.000000
2.650000,0.353256,0.353256,0.000000
2.660000,0.349741,0.349741,0.000000
2.670000,0.346261,0.346261,0.000000
2.680000,0.342816,0.342816,0.000000
2.690000,0.339405,0.339405,0.000000
2.700000,0.336028,0.336028,0.000000
2.710000,0.332684,0.332684,0.000000
2.720000,0.329374,0.329374,0.000000
2.730000,0.326096,0.326096,0.000000
2.740000,0.322852,0.322852,0.000000
2.750000,0.319639,0.319639,0.000000
2.760000,0.316459,0.316459,0.000000
2.770000,0.313310,0.313310,0.000000
2.780000,0.310193,0.310193,0.000000
2.790000,0.307106,0.307106,0.000000
2.800000,0.304050,0.304050,0.000000
2.810000,0.301025,0.301025,0.000000
2.820000,0.298030,0.298030,0.000000
2.830000,0.295064,0.295064,0.000000
2.840000,0.292128,0.292128,0.000000
2.850000,0.289222,0.289222,0.000000
2.860000,0.286344,0.286344,0.000000
2.870000,0.283495,0.283495,0.000000
2.880000,0.280674,0.280674,0.000000
2.890000,0.277881,0.277881,0.000000
2.900000,0.275116,0.275116,0.000000
2.910000,0.272379,0.272379,0.000000
2.920000,0.269668,0.269668,0.000000
2.930000,0.266985,0.266985,0.000000
2.940000,0.264329,0.264329,0.000000
2.950000,0.261699,0.261699,0.000000
2.960000,0.259095,0.259095,0.000000
2.970000,0.256517,0.256517,0.000000
2.980000,0.253964,0.253964,0.000000
2.990000,0.251437,0.251437,0.000000
3.000000,0.248935,0.248935,0.000000
3.010000,0.246458,0.246458,0.000000
3.020000,0.244006,0.244006,0.000000
3.030000,0.241578,0.241578,0.000000
3.040000,0.239174,0.239174,0.000000
3.050000,0.236795,0.236795,0.000000
3.060000,0.234438,0.234438,0.000000
3.070000,0.232106,0.232106,0.000000
3.080000,0.229796,0.229796,0.000000
3.090000,0.227510,0.227510,0.000000
3.100000,0.225246,0.225246,0.000000
3.110000,0.223005,0.223005,0.000000
3.120000,0.220786,0.220786,0.000000
3.130000,0.218589,0.218589,0.000000
3.140000,0.216414,0.216414,0.000000
3.150000,0.214261,0.214261,0.000000
3.160000,0.212129,0.212129,0.000000
3.170000,0.210018,0.210018,0.000000
3.180000,0.207928,0.207928,0.000000
3.190000,0.205859,0.205859,0.000000
3.200000,0.203811,0.203811,0.000000
3.210000,0.201783,0.201783,0.000000
3.220000,0.199775,0.199775,0.000000
3.230000,0.197787,0.197787,0.000000
3.240000,0.195819,0.195819,0.000000
3.250000,0.193871,0.193871,0.000000
3.260000,0.191942,0.191942,0.000000
3.270000,0.190032,0.190032,0.000000
3.280000,0.188141,0.188141,0.000000
3.290000,0.186269,0.186269,0.000000
3.300000,0.184416,0.184416,0.000000
3.310000,0.182581,0.182581,0.000000
3.320000,0.180764,0.180764,0.000000
3.330000,0.178966,0.178966,0.000000
3.340000,0.177185,0.177185,0.000000
3.350000,0.175422,0.175422,0.000000
3.360000,0.173676,0.173676,0.000000
3.370000,0.171948,0.171948,0.000000
3.380000,0.170237,0.170237,0.000000
3.390000,0.168543,0.168543,0.000000
3.400000,0.166866,0.166866,0.000000
3.410000,0.165206,0.165206,0.000000
3.420000,0.163562,0.163562,0.000000
3.430000,0.161935,0.161935,0.000000
3.440000,0.160323,0.160323,0.000000
3.450000,0.158728,0.158728,0.000000
3.460000,0.157149,0.157149,0.000000
3.470000,0.155585,0.155585,0.000000
3.480000,0.154037,0.154037,0.000000
3.490000,0.152504,0.152504,0.000000
3.500000,0.150987,0.150987,0.000000
3.510000,0.149485,0.149485,0.000000
3.520000,0.147997,0.147997,0.000000
3.530000,0.146525,0.146525,0.000000
3.540000,0.145067,0.145067,0.000000
3.550000,0.143623,0.143623,0.000000
3.560000,0.142194,0.142194,0.000000
3.570000,0.140779,0.140779,0.000000
3.580000,0.139378,0.139378,0.000000
3.590000,0.137992,0.137992,0.000000
3.600000,0.136619,0.136619,0.000000
3.610000,0.135259,0.135259,0.000000
3.620000,0.133913,0.133913,0.000000
3.630000,0.132581,0.132581,0.000000
3.640000,0.131262,0.131262,0.000000
3.650000,0.129956,0.129956,0.000000
3.660000,0.128663,0.128663,0.000000
3.670000,0.127382,0.127382,0.000000
3.680000,0.126115,0.126115,0.000000
3.690000,0.124860,0.124860,0.000000
3.700000,0.123618,0.123618,0.000000
3.710000,0.122388,0.122388,0.000000
3.720000,0.121170,0.121170,0.000000
3.730000,0.119964,0.119964,0.000000
3.740000,0.118771,0.118771,0.000000
3.750000,0.117589,0.117589,0.000000
3.760000,0.116419,0.116419,0.000000
3.770000,0.115260,0.115260,0.000000
3.780000,0.114113,0.114113,0.000000
3.790000,0.112978,0.112978,0.000000
3.800000,0.111854,0.111854,0.000000
3.810000,0.110741,0.110741,0.000000
3.820000,0.109639,0.109639,0.000000
3.830000,0.108548,0.108548,0.000000
3.840000,0.107468,0.107468,0.000000
3.850000,0.106399,0.106399,0.000000
3.860000,0.105340,0.105340,0.000000
3.870000,0.104292,0.104292,0.000000
3.880000,0.103254,0.103254,0.000000
3.890000,0.102227,0.102227,0.000000
3.900000,0.101210,0.101210,0.000000
3.910000,0.100203,0.100203,0.000000
3.920000,0.099205,0.099205,0.000000
3.930000,0.098218,0.098218,0.000000
3.940000,0.097241,0.097241,0.000000
3.950000,0.096274,0.096274,0.000000
3.960000,0.095316,0.095316,0.000000
3.970000,0.094367,0.094367,0.000000
3.980000,0.093428,0.093428,0.000000
3.990000,0.092499,0.092499,0.000000
4.000000,0.091578,0.091578,0.000000
4.010000,0.090667,0.090667,0.000000
4.020000,0.089765,0.089765,0.000000
4.030000,0.088872,0.088872,0.000000
4.040000,0.087987,0.087987,0.000000
4.050000,0.087112,0.087112,0.000000
4.060000,0.086245,0.086245,0.000000
4.070000,0.085387,0.085387,0.000000
4.080000,0.084537,0.084537,0.000000
4.090000,0.083696,0.083696,0.000000
4.100000,0.082863,0.082863,0.000000
4.110000,0.082039,0.082039,0.000000
4.120000,0.081223,0.081223,0.000000
4.130000,0.080414,0.080414,0.000000
4.140000,0.079614,0.079614,0.000000
4.150000,0.078822,0.078822,0.000000
4.160000,0.078038,0.078038,0.000000
4.170000,0.077261,0.077261,0.000000
4.180000,0.076493,0.076493,0.000000
4.190000,0.075731,0.075731,0.000000
4.200000,0.074978,0.074978,0.000000
4.210000,0.074232,0.074232,0.000000
4.220000,0.073493,0.073493,0.000000
4.230000,0.072762,0.072762,0.000000
4.240000,0.072038,0.072038,0.000000
4.250000,0.071321,0.071321,0.000000
4.260000,0.070612,0.070612,0.000000
4.270000,0.069909,0.069909,0.000000
4.280000,0.069213,0.069213,0.000000
4.290000,0.068525,0.068525,0.000000
4.300000,0.067843,0.067843,0.000000
4.310000,0.067168,0.067168,0.000000
4.320000,0.066499,0.066499,0.000000
4.330000,0.065838,0.065838,0.000000
4.340000,0.065183,0.065183,0.000000
4.350000,0.064534,0.064534,0.000000
4.360000,0.063892,0.063892,0.000000
4.370000,0.063256,0.063256,0.000000
4.380000,0.062627,0.062627,0.000000
4.390000,0.062004,0.062004,0.000000
4.400000,0.061387,0.061387,0.000000
4.410000,0.060776,0.060776,0.000000
4.420000,0.060171,0.060171,0.000000
4.430000,0.059572,0.059572,0.000000
4.440000,0.058980,0.058980,0.000000
4.450000,0.058393,0.058393,0.000000
4.460000,0.057812,0.057812,0.000000
4.470000,0.057237,0.057237,0.000000
4.480000,0.056667,0.056667,0.000000
4.490000,0.056103,0.056103,0.000000
4.500000,0.055545,0.055545,0.000000
4.510000,0.054992,0.054992,0.000000
4.520000,0.054445,0.054445,0.000000
4.530000,0.053903,0.053903,0.000000
4.540000,0.053367,0.053367,0.000000
4.550000,0.052836,0.052836,0.000000
4.560000,0.052310,0.052310,0.000000
4.570000,0.051790,0.051790,0.000000
4.580000,0.051274,0.051274,0.000000
4.590000,0.050764,0.050764,0.000000
4.600000,0.050259,0.050259,0.000000
4.610000,0.049759,0.049759,0.000000
4.620000,0.049264,0.049264,0.000000
4.630000,0.048774,0.048774,0.000000
4.640000,0.048288,0.048288,0.000000
4.650000,0.047808,0.047808,0.000000
4.660000,0.047332,0.047332,0.000000
4.670000,0.046861,0.046861,0.000000
4.680000,0.046395,0.046395,0.000000
4.690000,0.045933,0.045933,0.000000
4.700000,0.045476,0.045476,0.000000
4.710000,0.045024,0.045024,0.000000
4.720000,0.044576,0.044576,0.000000
4.730000,0.044132,0.044132,0.000000
4.740000,0.043693,0.043693,0.000000
4.750000,0.043258,0.043258,0.000000
4.760000,0.042828,0.042828,0.000000
4.770000,0.042402,0.042402,0.000000
4.780000,0.041980,0.041980,0.000000
4.790000,0.041562,0.041562,0.000000
4.800000,0.041149,0.041149,0.000000
4.810000,0.040739,0.040739,0.000000
4.820000,0.040334,0.040334,0.000000
4.830000,0.039933,0.039933,0.000000
4.840000,0.039535,0.039535,0.000000
4.850000,0.039142,0.039142,0.000000
4.860000,0.038752,0.038752,0.000000
4.870000,0.038367,0.038367,0.000000
4.880000,0.037985,0.037985,0.000000
4.890000,0.037607,0.037607,0.000000
4.900000,0.037233,0.037233,0.000000
4.910000,0.036862,0.036862,0.000000
4.920000,0.036496,0.036496,0.000000
4.930000,0.036133,0.036133,0.000000
4.940000,0.035773,0.035773,0.000000
4.950000,0.035417,0.035417,0.000000
4.960000,0.035065,0.035065,0.000000
4.970000,0.034716,0.034716,0.000000
4.980000,0.034370,0.034370,0.000000
4.990000,0.034028,0.034028,0.000000
5.000000,0.033690,0.033690,0.000000
